"Lamaze Peekaboo, I Love You","One of baby's first and favorite books, and it is washable! I gave 1 less star than perfect because I'd like to see some diversity in the people - not just your typical white family ;)",4,1
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),"It has been many years since we needed diaper pins, but I do like to pin my socks together through the wash and have never lost one yet. I was using brass dressmaker pins but they tended to open up during the wash cycle. My wife suggested diaper pins and we tried them. Thery're working perfectly and staying together through the washing. Matter of fact they can get a little tricky to open, but of course that was the idea. Recommended to keep your socks &#34;friended up&#34;.",5,1
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book","I'm a new mom and I was looking for something to record my baby's daily activities and patterns and it is perfect! It has a lot of space to write down anything extra beyond the diaper changes, feedings and sleeping. I like that it has an area to write down medications. It is a great reminder for dr appointments and to track your baby's patterns. I am extremely happy with this book and will be ordering another one for when I run out of pages in 3 months.",5,1
Fisher Price Nesting Action Vehicles,We bought these trucks for our 15 mo. old daughter and 4 mo. old son- We love them!  They are nesting which is fun for our daughter to look underneath the trucks to find the next one or they can stack one on top of the other to make a tower.  Perfect first trucks!  And they aren't too big- a perfect size!,5,1
Fisher Price Nesting Action Vehicles,"We just bought this for my 9 month old daughter,she loves these cars, loves to turn the wheels and lookat the faces. She especially loves the little green car,it's the perfect size to fit in her tiny hand and it rattles.This toy is a hit! I highly recommend it.",5,1
Earlyears: Earl E. Bird with Teething Rings,"We received an Earl E. Bird as a gift when we had our first baby eleven years ago. Since then, Earl has seen us through teething for three kids, and is still in good condition for our fourth baby!  He's a little faded around the edges, but just as loveable and soft, with difference textures for a chewy, drooly baby to gnaw on.I like that he's fully washable, and a nice quiet toy (at least in ours, the squeaker was very quiet to begin with and has since kind of stopped squeaking--but the squeaker was never the big attraction with Earl).  Perfect for taking on planes, or in church, or in the car. A great baby shower gift, since Earl is perfect for a boy or a girl.",5,1
Pooh Baby's First Tigger,Perfect for young children and overall good quality for the price.,5,1
Baby Trend Diaper Champ,"Hands down....get this diaper pail... The only reason I ever even need to empty it is when it cant hold anymore! NEVER smells..ever! I change mine about every 2 weeks, like I said, only because thats when it seems to fill. Dont bother w/ the cheapies, this one is IT! Seriously....trust me! The reason why it never smells is because the diaper goes into like a seperate chamber before it gets to the bag, so the air never transfers.Theres nothing else I can say. This is perfection.",5,1
"Summer Infant Ultimate Crib Sheet, 52&quot; x 28&quot;",Yes i have pretty sheets on the crib......but who wants to wash them every time there is a mess.  Well this is the answer!  So much easier (since they snap around the crib slats) to get on and off!  Waterproof!!  What else should i say!  Perfect gift!!!,5,1
Munchkin Mozart Magic Cube,"The Mozart Magic Cube was given to my infant daughter as a Christmas gift--she loves it! Perfect for little hands as they are learning coordination and motor skills.  It is fun to listen to the songs and isolate the different instruments or add them back in, one by one.  The rubber sides are durable, especially if dropped.  Nice, also, to have no sharp edges on it, so it is very safe.  My 11 month old niece was over to play and she discovered the cube and was enchanted by it.  I will be giving her one for her very own for her upcoming birthday!  As for the loudness level, I  don't find it terribly loud; however, I recognize it needs to be at a certain level in order for babies to focus in on it (if it were softer, they might not pay attention to it).",5,1
Munchkin Mozart Magic Cube,this was just as advertised.  Perfect forlittle fingers.  Quite nice toy withlovely sound quality and bright colorsand flashing lights.,5,1
Munchkin Mozart Magic Cube,"Our 8 month old loves to &#34;bang&#34; things so this is perfect. He moves it around, bangs on it and lights it up with music. Great buy!",5,1
"Graco TotBloc Pack 'N Play with Carry Bag, Bugs Quilt","I searched and searched for a square playpen from the olden days.  Well this fit that criteria perfectly!  I hated to keep her confined to the new smaller pack-n-plays to play in.  To nap is one thing, but to use as a play yard at home is completely different.  She is currently 6 1/2 months old and will play for about 20-30 minutes on her own before her attention span is gone.  This allows me to prepare dinner, clean up a little, or even just sit on the couch and RELAX.  She may still be young, but she's on the move already.  This keeps her in one place, where I left her.It does slope to the middle, but she doesn't have a problem with that, even if I sit her down around the outside of the mat.  She only plays with the crinkly butterfly and hasn't taken the time to discover the other sides to play with.I would recommend this to anyone with a baby girl or boy!!!I (a woman) opened this up and set it up on my own the very first time within a few minutes. We have not taken it down or moved it since I set it up in the living room.  I specifically bought it as a playpen and not a travel pen.Overall, I am VERY pleased with this purchase and have bragged to other friends, that have babies similar age, that I have an Old School Style BIG playpen.",5,1
"Graco TotBloc Pack 'N Play with Carry Bag, Bugs Quilt",This was the frst time our son had been in a playpen. With in minutes he was playing with the ""attached"" toys. In short he loves it. It's perfect to keep him entertained while cooking dinner or taking a shower. It assembles quickly and stores neatly and easily in the included storage bag. We are considering buying another to keep at his grandparents. We would highly recommend the Graco TotBloc Pack 'N Play.,5,1
"Graco TotBloc Pack 'N Play with Carry Bag, Bugs Quilt","the pen is perfect and bigger than the pack n plays with the bassinets.  i wanted something to keep my baby safe in while i was busy cooking or doing dishes.  he can safely play in this and the toys stitched onto the side mesh keep him occupied even if his toys dont.  the only downside is its hard to find playsheets locally.  you have to source them on amazon.  other than that, its a great playpen!",5,1
"Graco TotBloc Pack 'N Play with Carry Bag, Bugs Quilt","I am very thankful I chose this particular pack-n-play. I've seen the ones my friends have for their babies and I definitely got the best one!!! It also folds up easily and stores nicely. It is a little heavy, but they all are to me. It is sturdy and I think it will last. Sheets that fit this particular model are pricey, though, as it's not the average rectangular shape. Other than that, it is perfect! My daughter loves it and so do I!",5,1
Portable Crib Mattress,"This portable mattress fits perfectly in my Eddie Bauer Manchester Print travel yard(dimensions are 24x38 on both) and is slightly thicker(1/2 inch more) than the other portable crib mattresses that I've seen.Also, this one is waterproof and lightweight. It can be used in both the bassinet and crib portion of the aforementioned travel yard.MUCH better than using just the hard pad that comes with the travel yard.I should add that this also fits graco's pack and play portable crib sheets... which are the sheets I use in my Eddie Bauer travel yard.Seems to be fairly hardy in construction. Should last at least a year or two of regular use. If not.. well, buy another one. They're only $20.00! Regular moms(don't know about day cares) wouldn't need this any longer than that year or so anyway.",5,1
Cosco Portable Crib - White,"We loved the size, look and sturdiness of this portable crib.  Our 4 month old is quickly getting too large for her bassinet and this seemed like the perfect step up.Even with a portable bumper pad, my baby keeps kicking her leg through the rail while laying down.  I have to keep a sharp eye on her as I'm afraid that she will break her leg.  I first noticed this problem a few days ago as she was crying and when I turned around, her leg was sticking out.I pretty much only put her in it when she's super drousy but I'm going to take it back and get a play yard as I don't want to take any chances.  I already have a play yard at her daycare center and didn't want to get another one, but it will be so worth the peace of mind.This crib would be great for babies that don't like to kick as mine does.  She's a little wiggle worm!",4,1
UltraSoft Quilted Crib Mattress Pad,"This is the best mattress pad I've seen yet!  It is thick, soft, washes beautifully but best of all it fits the crib mattress perfectly without having to pull and tug on it trying to get it to fit only to have one of the corners pop off anyway.  I highly recommend this. I wish I'd had this from the start.",5,1
UltraSoft Quilted Crib Mattress Pad,"I purchased this pad with the BRU Sealy UltraSoft Mattress ($59.99 avail. online)and I couldn't be happier.  I was nervous about the whole crib and bedding purchase b/c of so many different reviews, but I have to say I'm happy I got it right the first time.  The softness of the pad evens out the firmness of the mattress and it's a comfortable bed that I would love to sleep on.  The mattress fits perfectly without the pad and even better with the pad (for overprotective moms who want no finger room between the crib and mattress).  The sheets for her room theme also fit like a glove.  My 9 month old daughter is transitioning out of her bassinet and I have to sneak her in the crib b/c she's not yet used to the extra space, but the first time she slept until 8am and her normal arise time is 6:30-7am.  I am a happier mom with this purchase.",5,1
The First Years Nature Sensations Lullaby Player,"This lullaby player is wonderful. Our baby is 4 1/2 months, and we've had to go into her room several times/night to replace her pacifier for 4 months(didn't have the heart to let her cry it out). The lullaby player has helped us in teaching her to go to sleep on her own. She no longer has a pacifier in her crib. I wanted to use the rainfall or ocean sounds for white noise, but it turned out our baby liked the lullaby setting better.The voice activiation is why I bought it and why it works so well. We rarely go into her room at night now, because as soon as she cries, the player turns on.The only bad thing is a really bad thing. It just inhales the batteries. I assume it uses them so quick because it has to be on all night so the voice activation can be ready. But, we have to replace batteries AT LEAST one a week. This product would be perfect if it could be plugged in.",4,1
Baby Smart Cooshie Booster Seat - Blue,"This is an excellent booster seat!  My cousin bought one for her daughter, so I decided to try it for mine.  Nice and comfy foam material that wipes clean very easily and is lightweight to travel with.  My 2 year old loves sitting at the table like a big girl now.  It brings her to a perfect level to eat at the table.  I have fabric padded kitchen chairs, so I keep a towel under the booster to keep food from ruining the chair fabric.  Highly recommended!!!",5,1
Baby Smart Cooshie Booster &amp; Travel Bag - Green,"We have a 20 month old boy who was getting too big for his infant seat but too small for a chair.  When I saw this booster online I thought it would be perfect, and it is.  It portable enough to take anywhere and he just loves it.",4,1
BABYBJORN Toilet Trainer - White/Red,"I saw some other reviews saying that they had issues with some other slow closing seats.  Our son hasn't used this yet, but I wanted to say that this fits our toilet seat PERFECTLY - it's VERY stable!!!  Our seat and toilet have an elongated shape - not round.",5,1
